integer_ID,latitude,longitude,name,start_date,end_date,type,address,description,image,bibliographic_citations,,,
1,44.98214,-93.27077,Coffee House Press,08/01/1985,12/31/1988,chp,24 N. 3rd st.,"Coffee House Press's first space in Minneapolis was in the Minnesota Center for Book Arts at 24 N 3rd street. Allan Kornblum was the center's first artist in residence. The exact date of the move is unclear, but the Kornblums stated they had been planning to leave West Branch in late January 1985.",,"Fuller, Jim. “New Center Salutes Artists of the Printing Fields.” Minneapolis Star and Tribune. September 30, 1984, sec. entertainment/arts.; Gysin, Catherine. “Coffee House Press Plans Move to St. Paul, More Major Books.” Iowa City Press-Citizen. January 23, 1985.; Sitter, Jim. Interview by Betty Bright, September 30, 2015, transcript, Minnesota Center for Book Arts' 30th Anniversary Oral History Project. ; “MOVING SALE.” Iowa City Press-Citizen, July 26, 1985, sec. Classifieds.
",,,
2,44.98088,-93.27247,Coffee House Press,01/01/1989,01/01/2008,chp,27 N. 4th st. ,"This was CHP's first office space. It is unclear exactly when CHP moved to 27 N 4th street. In March 1989 a newspaper article stated the press had recently moved, but all CHP titles from 1989 use 27 N 4th street as an address. ",,"Wood, Dave. “Publisher Prospers in Minnesota.” Minneapolis Star and Tribune. March 12, 1989, sec. Arts & entertainment.

",,,
4,44.97878,-93.27402,Shinder's Readmore Bookstore,01/01/1916,10/3/1988,adult bookstore,N. 6th st. and Hennepin ave.,Shinders on 6th carried gay and straight pornography along with other tabloid magazines. It became a popular spot for sex workers to pick up johns. This was the first of the two Shinders on Hennepin's 600 block. ,in zotero ,"McBride, Roy, Patrick Scully, and Daniel Polsfuss. Shinders to Shinders: A Surreal Portrait of Hennepin Avenue. Minneapolis: Studio X, 1982.; McGrath, Dennis J. “Wrecking Ball Soon to Be Last Customer on Block E.” Star Tribune. October 3, 1988, St. Paul edition.; Monaghan, George. “Feuding Shinders Stand Test of Time.” Minneapolis Star. December 24, 1981, sec. Variety.; Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. Minnesota: University of Minnesota Press, 2012, pp. 121.",,,
5,44.97978,-93.272,Hennepin Baths,01/01/1925,02/19/1979,bathhouse,10 S. 5th st. and Hennepin ave.,The Hennepin Baths were a bathhouse located in the heart of gay night life iin the cities. By the 1940s it was used a site for sex workers to pick up johns. ,in zotero ,"“New Lumber Exchange Building 'Renovation.’” Minneapolis Star. February 19, 1979.; Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. Minnesota: University of Minnesota Press, 2012, pp. 56-65.
",,,
6,44.9805,-93.27195,Gay 90s Complex,01/01/1957,04/02/2021,gay bar,408 Hennepin ave.,"The Happy Hour bar was an underground gay bar that opened in 1957 under potentially illegal terms, hence the exact date of its inception is unknown. It operated out of the Gay 90s restaurant, which was a straight establishment in spite of its name. the Happy Hour and Gay 90s complex became a bar in 1976 when it was renovated into a disco. The bar became explicitly gay in 1979. By the mid 1980s, white, cis, middle class gay men staked their claim to the bar when they partnered with the Minneapolis Police Department to crack down on anti-gay hate crimes. Because of the bar's alignment with homonormative politics, it remains in existence as of April 2021.   ",in zotero ,"Theissen, Brad. Coyle 10-24, Coyle MT6 on Anti-Gay Violence, 1986. umedia.lib.umn.edu/item/p16022coll100:103.; 
Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. Minnesota: University of Minnesota Press, 2012, pp. 71-74.",,,
7,44.97847,-93.27536,Big Daddy's Bathhouse,01/01/1979,01/01/1982,bathhouse,3 N. 7th st.,"Big Daddy's Bathhouse was short lived, but it became the stuff of legends at 4AM on June 28, 1979, when the deputy chief of police, John Locke, and the deputy mayor, Erv Dauphin, drunkenly raided the establishment. After the1979 raid, business never recovered. In 1982, the bathhouse closed.",,"Johnson, Cheryl. “Midst a Row of Junkyards, Steam Bath Prospers.” Minneapolis Star and Tribune. June 25, 1987.; Murphy, Ryan P., and Alex T. Urquhart. “Sexuality in the Headlines: Intimate Upheavals as Histories of the Twin Cities.” In Queer Twin Cities: Twin Cities GLBT Oral History Project. University of Minnesota Press, 2010, pp. 69.; Shoop, Jim. “‘High Visibility’ Gay Candidate Withdraws as Anderson Delegate.” Minneapolis Star. March 27, 1980.; Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. Minnesota: University of Minnesota Press, 2012, pp. 146.",,,
8,44.97855,-93.27428,Adonis Theatre,04/11/1980,10/3/1988,pornographic theater,614-616 Hennepin ave.,"Formerly the Great Northern Market, 614-616 became a site of queer hookup culture when the Adonis theater relocated in 1980. The Adonis was also a popular site for gay sex workers to pick up johns. On account of its visible queer clientele, the Minneapolis Police Department's Vice Squad conducted frequent raids of the theater. It eventually closed on account of urban renewal. ",,"“Church Purchases Building.” Minneapolis Star. April 11, 1980.; Flanagan, Barbara. “Mall Tables Set for Spring.” Minneapolis Star. April 15, 1980.; McGrath, Dennis J. “Wrecking Ball Soon to Be Last Customer on Block E.” Star Tribune. October 3, 1988, St. Paul edition.; Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. Minnesota: University of Minnesota Press, 2012, pp. 149-152.",,,
120,44.97644,-93.27752,Adonis Theatre,09/01/1975,04/10/1980,pornographic theater,900-904 Hennepin ave.,,,"“Church Purchases Building.” Minneapolis Star. April 11, 1980.; Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. University of Minnesota Press, 2012, pp. 149-152",,,
9,44.9783,-93.27467,Fantasy House,01/01/1981,10/3/1988,sex shop,622 Hennepin ave.,The Fantasy House was sex shop and prominent redlight district site.,in zotero,"McGrath, Dennis J. “Wrecking Ball Soon to Be Last Customer on Block E.” Star Tribune. October 3, 1988, St. Paul edition.; Scully, Patrick. “Performing Through Crisis: Patrick Scully on Art and AIDS in the 1980s.” Walker Art, August 8, 2012.",,,
10,44.97814,-93.27486,Shinder's Readmore Bookstore,03/12/1960,10/3/1988,adult bookstore,N. 7th st. and Hennepin ave.,Shinders on 7th carried gay and straight pornography along with other tabloid magazines. It became a popular spot for sex workers to pick up johns. This was the second of the two Shinders on Hennepin's 600 block.,,"McBride, Roy, Patrick Scully, and Daniel Polsfuss. Shinders to Shinders: A Surreal Portrait of Hennepin Avenue. Minneapolis: Studio X, 1982.; McGrath, Dennis J. “Wrecking Ball Soon to Be Last Customer on Block E.” Star Tribune. October 3, 1988, St. Paul edition.; Monaghan, George. “Feuding Shinders Stand Test of Time.” Minneapolis Star. December 24, 1981, sec. Variety.; Van Cleve, Stewart. Land of 10,000 Loves: A Queer History of Minnesota. Minnesota: University of Minnesota Press, 2012, pp. 121.",,,
