authority_name,aka,count
/ st. paul / 1989 uc santa,['/ St. Paul / 1989 UC Santa'],1
patrick and aimee butler family foundation,"['Aimee Butler Family Foundation', 'Aimee Butler Family Foundation', 'Aimee Butler Family Foundation', 'Aimee Butler Family Foundation', 'Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Bulter Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Buder Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick\nand', 'Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee', 'Patrick and Aimee Butler Family', 'Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee', 'the Patrick and Aimee Butler', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick\nand Aimee Butler Family Foundation', 'Patrick and Aimee', 'Patrick\nand', 'Patrick and Aimee Butler Family', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick\nand Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and\nAimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and\nAimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and\nAimee Butler Family Foundation', 'the Patrick and Aimee', 'the Patrick and Aimee Butler Family', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and\nAimee Butler Family Foundation', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee', 'Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation', 'the Patrick and\nAimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family', 'the Patrick and Aimee Butler Family Foundation', 'the Patrick and Aimee Butler Family Foundation', 'Patrick and Aimee Butler Family Foundation']",115
allan and cinda kornblum,['Allan and Cinda Kornblum'],1
american state fair st paul,['The American State Fair St Paul'],1
andrew w. mellon foundation,"['the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'the Andrew W. Mellon Founda- tion', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'The Andrew W. Mellon Foun- dation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Founda- tion', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'The Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon\nFoundation', 'Andrew W. Mellon\nFoundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon\nFoundation', 'Andrew\nW. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon\nFoundation', 'Andrew W. Mellon\nFoundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew\nW. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew\nW. Mellon Foundation', 'Andrew W. Mellon\nFoundation', 'Andrew W. Mellon\nFoundation', 'Andrew W. Mellon Foundation', 'Andrew\nW. Mellon Foundation', 'Andrew W. Mellon\nFoundation', 'Andrew W. Mellon Foundation', 'Andrew W Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon\nFoundation', 'Andrew W. Mellon\nFoundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'the Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W. Mellon Foundation', 'Andrew W.\nMellon Foundation', 'the Mellon Foundation']",149
"angel hair anthology (granary books,","['The Angel Hair Anthology (Granary Books,']",1
ann and doug,['Ann and Doug'],1
ann and doug ness,['Ann and Doug Ness'],1
antonio ruiz / collection,['Antonio Ruiz / Collection'],1
archie and bertha walker foundation,"['Archie & Bertha Walker Foundation', 'Archie 8c Bertha Walker Foundation', 'Archie & Bertha Walker Foundation', 'Archie D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha H.\nWalker Foundation', 'the Archie and Bertha Walker Foundation', 'the Archie D. and Bertha H. Walker Foundation', 'the Archie D. and\nBertha H. Walker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation', 'Archie D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha', 'the Archie D. and Bertha H.\nWalker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation', 'the Archie D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation', 'the Archie D. and Bertha H. Walker Foundation', 'Archie D. and Bertha H. Walker Foundation', 'D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha H.\nWalker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation', 'the Archie D. and Bertha H. Walker Foundation', 'the Archie D. and\nBertha H. Walker Foundation', 'D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation', 'the Archie D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation', 'the Archie D. and Bertha H. Walker Foundation', 'the Archie D. and Bertha H.\nWalker Foundation', 'the Archie D. and Bertha H. Walker\nFoundation']",29
