stripped,original
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
jerome foundation,the Jerome Foundation
mellon foundation,the Mellon Foundation
lila wallace reader's digest fund,the Lila Wallace- Reader's Digest Fund
mcknight foundation,the McKnight Foundation
dayton hudson foundation for dayton's and target stores,the Dayton- Hudson Foundation for Dayton's and Target stores
cowles media foundation,Cowles Media Foundation
general mills foundation,the General Mills Foundation
united arts,United Arts
united arts,the United Arts
mcknight foundation,the McKnight Foundation
national endowment for arts,the National Endowment for the Arts
dayton hudson foundation with funds provided by b dalton bookseller new rivers press books are distributed by and bookslinger,the Dayton Hudson Foundation with funds provided by B Dalton BOOKSELLER New Rivers Press books are distributed by and Bookslinger
national endowment for arts,the National Endowment for the Arts
massachusetts artists foundation,the Massachusetts Artists Foundation
washington state arts commission,the Washington State Arts Commission
national endowment for arts,the National Endowment for the Arts
massachusetts artists foundation,the Massachusetts Artists Foundation
washington state arts commission,the Washington State Arts Commission
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
athwin foundation,Athwin Foundation
bush foundation,the Bush Foundation
honeywell foundation,Honeywell Foundation
james r. thorpe foundation,James R. Thorpe Foundation
lila wallace reader's digest fund,Lila Wallace-Reader's Digest Fund
mcknight foundation,McKnight Foundation
patrick and aimee butler family foundation,Patrick and Aimee Butler Family Foundation
"pentair, inc.","Pentair, Inc."
st. paul companies,The St. Paul Companies Foundation
star tribune foundation,Star Tribune Foundation
target foundation,the Target Foundation
west group,West Group
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
wells fargo foundation minnesota,the Wells Fargo Foundation Minnesota
national endowment for arts,the National Endowment for the Arts
bush foundation,the Bush Foundation
target,Target
mcknight foundation,the McKnight Foundation
national endowment for arts minnesota state arts board,NATIONAL ENDOWMENT FOR THE ARTS MINNESOTA STATE ARTS BOARD
national endowment for arts,the National Endowment for the Arts
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
wells fargo foundation minnesota,Wells Fargo Foundation Minnesota
national endowment for arts,the National Endowment for the Arts
bush foundation,the Bush Foundation
target,Target
mcknight foundation,the McKnight Foundation
wells fargo national endowment for arts,WELLS FARGO NATIONAL ENDOWMENT FOR THE ARTS
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Leg- islature
national endowment for arts,the National Endowment for the Arts
andrew w. mellon foundation,the Andrew W. Mellon Foundation
lila wallace reader's digest fund,the Lila Wallace-Reader's Digest Fund
mcknight foundation,the McKnight Foundation
united arts,United Arts
national endowment for arts,the National Endowment for the Arts
new york state council on arts,the New York State Council on the Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,the Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota Legislature
north dakota council on arts,the North Dakota Council on the Arts
south dakota arts council,the South Dakota Arts Council
bush foundation,the Bush Foundation
liberty state bank,Liberty State Bank
mcknight foundation,the McKnight Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
star tribune/cowles media company,the Star Tribune/Cowles Media Company
tennant company foundation,the Tennant Com- pany Foundation
united arts,United Arts
jerome foundation,the Jerome Foundation
"dayton hudson foundation (with funds provided by b. dalton, bookseller)","the Dayton Hudson Foundation (with funds provided by B. Dalton, Bookseller"
first bank system foundation,the First Bank System Foundation
national endowment for arts,the National Endowment for the Arts
national endowment for arts minnesota state arts board,ENDOWMENT FOR THE ARTS MINNESOTA STATE ARTS BOARD
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
northwest area foundation,the Northwest Area Foundation
united arts,United Arts
minnesota state arts board,the Minne- sota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
bush foundation,the Bush Foundation
dayton's project imagine with support from target foundation,Dayton's Project Imagine with support from Target Foundation
mcknight foundation,the McKnight Foundation
stargazer foundation,the Stargazer Foun- dation
bbc's night waves.,BBC's Night Waves.
minnesota state arts board,the Minnesota 2133 State Arts Board
minnesota state legislature,the Minnesota State Legislature
d37 wells fargo foundation minnesota,D37 the Wells Fargo Foundation Minnesota
national endowment for arts,the National Endowment for the Arts
bush foundation,the Bush Foundation
target,Target
target foundation,the Target Foundation
mcknight foundation,the McKnight Foundation
jerome foundation,the Jerome Foundation
national endowment for arts minnesota state arts board,NATIONAL ENDOWMENT FOR THE ARTS MINNESOTA STATE ARTS BOARD
