training_ents,volume,line,text,title,imprint,author,pub_date,pub_place,ht_bib_key,oclc_num,isbn,lccn,from_library,digitized_by,ht_catalog_url,ht_handle,,,,,,,,,,
Minnesota State Arts Board || Minnesota State Legislature || National Endowment for the Arts || Andrew W. Mellon Founda- tion || the Lila Wallace-Reader's Digest Fund || the McKnight Foundation || United Arts,uc1.32106012987597,11,"From the Island's Edge A Sitka Reader Edited by Carolyn Servid GRAYWOLF PRESS Prize Jihrarv UC Santa Cruz 1999 Copyright © 1995 by Carolyn Servid Publication of this volume is made possible in part by a grant provided by the Minnesota State Arts Board through an appropriation by the Minnesota State Legislature, and by a grant from the National Endowment for the Arts. Signifi- cant additional support has been provided by the Andrew W. Mellon Founda- tion, the Lila Wallace-Reader's Digest Fund, the McKnight Foundation, and other generous contributions from foundations, corporations, and individuals. Graywolf Press is a member agency of United Arts, Saint Paul. To these organi- zations and individuals who make our work possible, we offer heartfelt thanks. Published by Graywolf Press 2402 University Avenue, Suite 203 Saint Paul, Minnesota S5114 All rights reserved. Printed in the United States of America. ISBN 1-55597-213-6 9 8 7 6 s 4 3 2 Second Printing, 1995 From the Island's Edge : A Sitka Reader / edited by Carolyn Servid.",From the island's edge : a Sitka reader / edited by Carolyn Servid,"Graywolf Press, c1995",,1995,mnu,7133009,29182550,"15,559,721,369,781,500,000,000",93041089,universityofcalifornia,google,https://catalog.hathitrust.org/Record/7133009,https://hdl.handle.net/2027/uc1.32106012987597,,,,,,,,,,
Minnesota State Arts Board || Minnesota State Legislature || National Endowment for the Arts || Dayton Hudson Foundation || Andrew W. Mellon Foundation || McKnight Foundation || General Mills Foundation || St. Paul Compa- nies || Lannan Founda- tion || J. M. Kaplan Fund,mdp.39015043116519,21,"GR AY WOLF PRESS SAINT PAUL MINNESOTA 810.9 278ane Copyright © 1998 by William Corbett Publication of this volume is made possible in part by a grant provided by the Minnesota State Arts Board through an appropriation by the Minnesota State Legislature, and by a grant from the National Endowment for the Arts. Signifi- cant support has also been provided by Dayton's, Mervyn's, and Target stores through the Dayton Hudson Foundation, the Andrew W. Mellon Foundation, the McKnight Foundation, the General Mills Foundation, the St. Paul Compa- nies, and other generous contributions from foundations, corporations, and in- dividuals. To these organizations and individuals we offer our heartfelt thanks. Additional support for this publication was provided by the Lannan Founda- tion and Furthermore, the publication program of The J. M. Kaplan Fund. Published by Graywolf Press 2402 University Avenue, Suite 203 Saint Paul, Minnesota 55114 All rights reserved. www.graywolfpress.org Published in the United States of America ISBN 1-55597-272-1 2 4 6 8 9 7 5 3 1 First Graywolf Printing, 1998",New York literary lights / William Corbett.,"Graywolf Press, c1998.","Corbett, William, 1942-",1998,mnu,3982217,39012791,"15,559,727,219,781,500,000,000",97080077,umich,google,https://catalog.hathitrust.org/Record/3982217,https://hdl.handle.net/2027/mdp.39015043116519,,,,,,,,,,
National Endowment for the Arts || Minnesota State Arts Board || United Arts,inu.30000004455584,38,"LITERACY 3 Edited by Rick Simonson & Scott Walker GRAYWOLF PRESS: SAINT PAUL Copyright © 1988 by Graywolf Press Introduction copyright © 1988 by Rick Simonson and Scott Walker Publication of this volume is made possible in part by grants from the National Endowment for the Arts, the Minnesota State Arts Board, and very generous contributions from corporations, foundations, and individuals. Graywolf Press is a member organization of United Arts, Saint Paul. Cover: “Cowhead Discovers Human Beings” is a quilt by Amy Cordova. The design is based on the journals of Cabeza de Vaca, Adventures in the Unknown Interior of America. (Photo by Robert Brace) ISBN 1-55597-114-8 ISSN 0743-7471 First printing, 1988 Set in Baskerville Published by GRAYWOLF PRESS Post Office Box 75006, Saint Paul, Minnesota 55 175. All rights reserved. 16-1/ ACKNOWLEDGMENTS The essays collected in this Graywolf Annual have appeared previously in",The Graywolf annual.,"Graywolf Press, 1985-1993.",,1988,mnu,1537758,10666837,,86658048,iu,google,https://catalog.hathitrust.org/Record/1537758,https://hdl.handle.net/2027/inu.30000004455584,,,,,,,,,,
"National Endowment for the Arts || Minnesota State Arts Board || Minnesota State Legislature || National Endowment for the Arts || McKnight Foundation || Target || Buuck Family Foundation || Bush Foundation || Patrick and Aimee Butler Family Foundation || Foundation for Contemporary Arts || Stephen and Isabel Keating || Outagamie Foundation || Pacific Foundation || the law firm of Schwegman, Lundberg, Woessner & Kluth, P.A. || James R. Thorpe Foundation || Archie D. and Bertha H. Walker Foundation || West Group || Woessner Freeman Family Foundation || Minnesota State Arts Board || Minnesota State Legislature || National Endowment for the Arts || TARGET || NATIONAL ENDOWMENT FOR THE ARTS",mdp.39015064688768,168,"UNIVERSITY OF MICHIGAN
3 9015 06468 8768
COLOPHON
A Strange Commonplace was designed at Coffee House Press
in the historic warehouse district of downtown Minneapolis.
The text is set in Garamond. The display font is Birch.
FUNDER ACKNOWLEDGMENTS
offee house press is an independent nonprofit literary
publisher. Our books are made possible through the generous
support of grants and gifts from many foundations, corporate giv-
ing programs, individuals, and through state and federal support.
This book received special project support from the National
Endowment for the Arts, a federal agency. Coffee House Press
receives general operating support from the Minnesota State Arts
Board, through an appropriation by the Minnesota State
Legislature and from the National Endowment for the Arts. Coffee
House receives major funding from the McKnight Foundation, and
from Target. Coffee House also receives significant support from:
an anonymous donor; the Buuck Family Foundation; the Bush
Foundation; the Patrick and Aimee Butler Family Foundation; the
Foundation for Contemporary Arts; Stephen and Isabel Keating;
the Outagamie Foundation; the Pacific Foundation; the law firm of
Schwegman, Lundberg, Woessner & Kluth, P.A.; the James R.
Thorpe Foundation; Archie D. and Bertha H. Walker Foundation;
West Group; the Woessner Freeman Family Foundation; and many
other generous individual donors.
This activity is made possible
in part by a grant from the
Minnesota State Arts Board,
through an appropriation by the
Minnesota State Legislature and
a grant from the National
Endowment for the Arts.
TARGET.
NINNEN14
87 AX BOARD
NATIONAL
ENDOWMENT
FOR THE ARTS
To you and our many readers across the country,
we send our thanks for your continuing support.
Good books are brewing at coffeehousepress.org
97 355 AA 1QC
CIBINDING
FM2
STUB 02-013-01 GBC",A strange commonplace / Gilbert Sorrentino.,"Coffee House Press, c2006.","Sorrentino, Gilbert.",2006,miu,5225932,62525192,"15,668,918,259,781,500,000,000",2005035804,umich,google,https://catalog.hathitrust.org/Record/5225932,https://hdl.handle.net/2027/mdp.39015064688768,,,,,,,,,,
"Arts Development Fund of the United Arts Council || the Beverly J. and John A. Rollwagen Fund of the Minneapolis
Foundation || Cray Research Foundation || the Elizabeth A. Hale Fund of the Min-neapolis Foundation || the First Bank System Foundation || Liberty State Bank || the Star Tribune/Cowles Media Company || the Tennant Company Foundation || National Endowment for the Arts",mdp.39015049665600,6,"820.8
B765
Copyright 1991 by New Rivers Press
Library of Congress Catalog Card Number 90-61092
ISBN 0-89823-121-3
All Rights Reserved
Book Design by Gaylord Schanilec
Typesetting by Peregrine Publications
Front Cover Photograph by Jan Frank
Editorial Assistance by Paul J. Hintz
The editor would like to thank Darrell Fike, for his editorial contributions as
first reader for a number of manuscripts, and for his insight and enthusiasm;
Josef Škvorecký, for putting him in contact with a large number of the North
American Czecho-Slovak community of writers; Bohumil Krcil, for presen-
ting the portfolios of Czech photographers in exile; Zdenik Sadlon, for his con-
sultations and advice; Joseph Rothschild, for his book; Krystyna Kornilowicz,
for her editorial assistance, patience, faith, and advice; Bill O'Donnell, for going
to bat for him; the many contributors who made this project possible; and
Katie Maehr and Bill Truesdale, for their endurance and good humor in mak-
ing this book a reality.
Special thanks also to Memphis State University, which supplied Faculty
Research Grant funds that allowed for the editing of this collection, and to Mar-
quette University, where the collection assumed its final form. An editorial error
in compiling this collection resulted in an accepted manuscript, “Two Voices”
by Bronislava Volková, not being printed. The editor apologizes for the omission.
The Boundaries of Twilight: Czecho-Slovak Writing from the New World was
published with the aid of grants from the Arts Development Fund of the United
Arts Council, the Beverly J. and John A. Rollwagen Fund of the Minneapolis
Foundation, Cray Research Foundation, the Elizabeth A. Hale Fund of the Min-
neapolis Foundation, the First Bank System Foundation, Liberty State Bank,
the Star Tribune/Cowles Media Company, the Tennant Company Foundation,
and the National Endowment for the Arts (with funds appropriated by the Con-
gress of the United States).
New Rivers Press books are distributed by
The Talman Company
150-5th Avenue
New York, NY 10011
Bookslinger
2402 University Avenue
St. Paul, MN 55114
The Boundaries of Twilight: Czecho-Slovak Writing from the New World has been
manufactured in the United States of America for New Rivers Press (C. W.
Truesdale, Editor/Publisher), 420 N. 5th Street/Suite 910, Minneapolis, MN
55401 in a first edition of 2,000.",The Boundaries of twilight : Czecho-Slovak writing from the New World / edited by C.J. Hribal.,"New Rivers Press ; Distributed by Talman Co. ; Distributed by Bookslinger, 1991.",,1991,mnu,3528204,29357310,"8,982,312,139,780,890,000,000",90061092,umich,google,https://catalog.hathitrust.org/Record/3528204,https://hdl.handle.net/2027/mdp.39015049665600,,,,,,,,,,
National Endow- ment for the Arts,uc1.32106007953653,14,"TZU YEH :: LI CH’ING-CHAO Poems & Songs translated by Sam Hamill Coffee House Press :: Saint Paul :: 1985 Univ. Library, UC Santa Cruz 1988 Translations copyright © 1985 by Sam Hamill. All rights reserved. Some of these poems have appeared in Crab Creek Review and Parnassus. The translator gratefully ac- knowledges the National Endowment for the Arts and the Guggenheim Foundation for grants which assisted the translator in his work. The publishers wish to thank the National Endow- ment for the Arts for a Small Press Assistance Grant that aided in the production of this book. Cover illustration by Phyllis Hopeck Dedication page calligraphy by Masa Snyder Chinese figure drawings by Sam Hamill Library of Congress Cataloging in Publication Data Tzu, Yeh, 4th cent. The lotus lovers. Translated from the Chinese. 1. Chinese poetry—Translations into English. 2. English poetry-Translations from Chinese. I. Li, Ching-chao, 1081-ca. 1141. II. Hamill, Sam.","The lotus lovers : poems & songs / Tzu Yeh, Li Chʼing-chao ; translated ; [Chinese figure drawings by Sam Hamill].","Coffee House Press, 1985.","Tzu, Yeh, 4th cent.",1985,mnu,7105650,11532484,"9,182,730,999,780,910,000,000",84028517,universityofcalifornia,google,https://catalog.hathitrust.org/Record/7105650,https://hdl.handle.net/2027/uc1.32106007953653,,,,,,,,,,
the Jerome Foundation || the Dayton Hudson Foundation (with funds provided by B. Dalton Bookseller) || the First Bank System Foundation || the National Endowment for the Arts,uc1.b4394230,12,"A Novella by Patricia Barone – with Artworks by the Author – Minnesota Voices Project Number 28 NEW RIVERS PRESS 1987 Univ. Library, UC Santa Cruz 1987 Copyright © 1987 by Patricia Barone Library of Congress Catalog Card Number: 86-63554 ISBN: 0-89823-085-3 All rights reserved Design and typesetting: Peregrine Publications, St. Paul The Wind has been published with the aid of grants from the Jerome Foundation, the Dayton Hudson Foundation (with funds provided by B. Dalton Bookseller), the First Bank System Foundation, and the National Endowment for the Arts (with funds ap- propriated by the Congress of the United States. New Rivers Press books are distributed by: and The Talman Company 150-5th Ave. New York, NY 10011 TSC-Sth Ave. Company and 2002ah Bookslinger 213 E. 4th St. St. Paul, MN 55101 The Wind has been manufactured in the United States of America for New Rivers",The wind : a novella / by Patricia Barone ; with artworks by the author.,"New Rivers Press ; Distributed by Talman Co., 1987.","Barone, Patricia.",1987,mnu,9513474,15607644,"8,982,308,539,780,890,000,000",86063554,universityofcalifornia,google,https://catalog.hathitrust.org/Record/9513474,https://hdl.handle.net/2027/uc1.b4394230,,,,,,,,,,
Minnesota State Arts Board || the Minnesota State Legislature || the Wells Fargo Foundation Minnesota || the National Endowment for the Arts || the Bush Foundation || Target || the McKnight Foundation || NATIONAL ENDOWMENT FOR THE ARTS MINNESOTA STATE ARTS BOARD,mdp.39015064761722,14,"soona A Love Story David TREUER Graywolf Press SAINT PAUL, MINNESOTA Copyright © 2006 by David Treuer Publication of this volume is made possible in part by a grant provided by the Minnesota State Arts Board, through an appropriation by the Minnesota State Legislature; a grant from the Wells Fargo Foundation Minnesota; and a grant from the National Endowment for the Arts, which believes that a great nation deserves great art. Significant support has also been provided by the Bush Foundation; Target; the McKnight Foundation, and other generous contributions from foundations, cor- porations, and individuals. To these organizations and individuals we offer our heartfelt thanks. NATIONAL ENDOWMENT FOR THE ARTS MINNESOTA STATE ARTS BOARD Published by Graywolf Press 2402 University Avenue, Suite 203 Saint Paul, Minnesota 55114 All rights reserved. www.graywolfpress.org",The translation of Dr. Apelles : a love story / David Treuer,"Graywolf Press, c2006","Treuer, David",2006,mnu,5288284,70914385,"15,559,745,119,781,500,000,000",2006924339,umich,google,https://catalog.hathitrust.org/Record/5288284,https://hdl.handle.net/2027/mdp.39015064761722,,,,,,,,,,
the National Endowment for the Arts || Minnesota State Arts Board || McKnight Foundation Award || the Minnesota State Arts Board || United Arts,mdp.39015021905578,14,"SAINT PAUL To f/ie memory of my grandmother, Ann <j«(f my mother, Iris Copyright © 1989 by Georgia Savage. First published by McPhee Gribble Publishers, Melbourne, Australia. 1 Publication of this volume is made possible in part by grants from the National Endowment for the Arts and Minnesota State Arts Board. Gray- wolf Press is the recipient of a McKnight Foundation Award administered by the Minnesota State Arts Board and receives generous contributions from corporations, foundations, and individuals. Gray wolf Press is a member agency of United Arts, Saint Paul. Published by Graywolf Press 2402 University Avenue, Suite 203 Saint Paul, Minnesota 55114 All rights reserved. Library o f Congress Cataloguing-in-Publication Data Savage, Georgia. The house tibet / Georgia Savage, p. cm. isbn 1-55597-144-x: $18.95 I. Title. PR9619.3.S274H6 1991 90-21203",The house tibet / Georgia Savage.,"Graywolf Press, 1991.","Savage, Georgia.",1991,mnu,2480035,"22,625,147","155597144X,9781555971441",90021203,umich,google,https://catalog.hathitrust.org/Record/2480035,https://hdl.handle.net/2027/mdp.39015021905578,,,,,,,,,,
"Minnesota State Arts Board || Minnesota State Legislature || the National Endowment for the Arts || McKnight Foundation || Target || the Buuck Family Foundation || the Bush Foundation || the Patrick and Aimee Butler Family Foundation || Consortium Book Sales and Distribution || the Foundation for Contemporary Performance Art || Stephen and Isabel Keating || the Lerner Family Foundation || the Outagamie Foundation || the Pacific Foundation || the law firm of Schwegman, Lundberg, Woessner & Kluth, P.A. || the James R. Thorpe Foundation West Group; the Woessner Freeman Family Foundation; and many other
generous individual donors.
This activity is made
possible in part by a grant
from the Minnesota State
Arts Board, through an
appropriation by the
Minnesota State velodrodove.
Legislature and a
grant from the National
MINNESOTA
Endowment for the Arts. STATE ARTS BOARD
NATIONAL
ENDOWMENT
FOR THE ARTS",mdp.39015060617936,98,"Funder Acknowledgments
Coffee House Press is an independent nonprofit literary publisher. Our books are made
possible through the generous support of grants and gifts from many foundations, cor-
porate giving programs, individuals, and through state and federal support. Coffee
House Press receives general operating support from the Minnesota State Arts Board,
through an appropriation by the Minnesota State Legislature and from the National
Endowment for the Arts, a federal agency. Coffee House receives major funding from the
McKnight Foundation, and from Target. Coffee House also receives significant support
from: an anonymous donor; the Buuck Family Foundation; the Bush Foundation; the
Patrick and Aimee Butler Family Foundation; Consortium Book Sales and Distribution;
the Foundation for Contemporary Performance Art; Stephen and Isabel Keating; the
Lerner Family Foundation; the Outagamie Foundation; the Pacific Foundation; the law
firm of Schwegman, Lundberg, Woessner & Kluth, P.A.; the James R. Thorpe
Foundation; West Group; the Woessner Freeman Family Foundation; and many other
generous individual donors.
This activity is made
possible in part by a grant
from the Minnesota State
Arts Board, through an
appropriation by the
Minnesota State velodrodove.
Legislature and a
grant from the National
MINNESOTA
Endowment for the Arts. STATE ARTS BOARD
NATIONAL
ENDOWMENT
FOR THE ARTS
To you and our many readers across the country,
we send our thanks for your continuing support.
Good books are brewing at coffeehousepress.org
UNIVERSITY OF MICHIGAN
3 9015 06061 7936",Off-season city pipe : work / by Allison Adelle Hedge Coke.,"Coffee House Press ; Distributor, Consortium Book Sales and Distribution, 2005.","Hedge Coke, Allison Adelle.",2005,mnu,4975801,57068416,"156689171X,9781566891714",2004027801,umich,google,https://catalog.hathitrust.org/Record/4975801,https://hdl.handle.net/2027/mdp.39015060617936,,,,,,,,,,
