htid,donors
uc1.b4402395,"['minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'jerome foundation', None, ""lila wallace reader's digest fund"", 'mcknight foundation', 'target', 'star tribune foundation', 'general mills foundation', 'united arts']"
uc1.b4582772,"['united arts', 'mcknight foundation', 'national endowment for the arts', 'target']"
uc1.b3462901,"['national endowment for the arts', None, None]"
mdp.39015047655967,"['national endowment for the arts', None, None]"
mdp.39015050822363,"['minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'athwin foundation', 'bush foundation', 'honeywell foundation', 'james r. thorpe foundation', ""lila wallace reader's digest fund"", 'mcknight foundation', 'patrick and aimee butler family foundation', 'pentair, inc.', 'st. paul companies', 'star tribune foundation', 'target', 'west group']"
uc1.32106019163168,"['minnesota state arts board', 'minnesota state legislature', 'wells fargo foundation minnesota', 'national endowment for the arts', 'bush foundation', 'target', 'mcknight foundation', 'minnesota state arts board']"
uc1.b4366123,['national endowment for the arts']
mdp.39015078796540,"['minnesota state arts board', 'minnesota state legislature', 'wells fargo foundation minnesota', 'national endowment for the arts', 'bush foundation', 'target', 'mcknight foundation', 'wells fargo national endowment for the arts']"
mdp.39015035020893,"['minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'andrew w. mellon foundation', ""lila wallace reader's digest fund"", 'mcknight foundation', 'united arts']"
mdp.39015019214959,"['national endowment for the arts', None]"
mdp.39015034419237,"['target', 'target', 'jerome foundation', 'metropolitan regional arts council', 'minnesota state legislature', None, 'south dakota arts council', 'bush foundation', 'liberty state bank', 'mcknight foundation', 'minnesota state arts board', 'minnesota state legislature', 'star tribune foundation', 'tennant company foundation', 'united arts']"
uc1.b4973120,"['jerome foundation', None, 'first bank system foundation', 'national endowment for the arts']"
uva.x004791040,['national endowment for the arts']
mdp.39015022058781,"['minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'northwest area foundation', 'united arts']"
uc1.32106015713875,"['minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'bush foundation', 'target', 'mcknight foundation', None, ""bbc's night waves.""]"
mdp.39015060067298,"['minnesota state arts board', 'minnesota state legislature', 'wells fargo foundation minnesota', 'national endowment for the arts', 'bush foundation', 'target', 'target', 'mcknight foundation', 'jerome foundation', 'minnesota state arts board']"
mdp.39015076176950,"['minnesota state arts board', 'minnesota state legislature', 'wells fargo foundation minnesota', 'national endowment for the arts', 'bush foundation', 'target', 'mcknight foundation', 'minnesota state arts board', 'target', None]"
mdp.39015053478973,"['minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'bush foundation', 'target', 'mcknight foundation', None]"
mdp.39015022025178,"['the juniata diary', 'national endowment for the arts']"
uc1.b4357748,"['national endowment for the arts', None]"
mdp.39015060039107,"['minnesota state arts board', 'minnesota state legislature', 'wells fargo foundation minnesota', 'national endowment for the arts', 'bush foundation', 'target', 'target', 'mcknight foundation', 'minnesota state arts board', 'the literary arts']"
uc1.b4974722,"['national endowment for the arts', 'minnesota state arts board', 'national endowment for the arts', 'united arts', 'elena andrenelli']"
mdp.39015069302142,[]
pst.000022829160,"['national endowment for the arts', 'minnesota state arts board', 'united arts']"
uc1.b4373333,"['mcknight foundation', None, 'united arts']"
mdp.49015000686247,"[None, 'national endowment for the arts']"
mdp.39015047761435,"['national endowment for the arts', None]"
mdp.39015061103696,"['minnesota state arts board', 'minnesota state legislature', 'wells fargo foundation minnesota', 'national endowment for the arts', 'bush foundation', 'target', 'target', 'mcknight foundation', 'minnesota state arts board']"
