htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author,catalog_url,handle_url,publisher,501c3,in_twin_cities,donor_list
coo.31924107125290,0,ic,9157794,,COO,6141330,85892519,"1566892074,9781566892070",,2007062000,Minnesota State Fair : an illustrated history / Kathryn Strand Koutsky and Linda Koutsky in collaboration with Minnesota State Fair.,"Coffee House Press ; Primary distributor, Consortium Book Sales & Distribution, c2007.",bib,2011-04-11 20:39:17,0,2007,mnu,eng,BK,COO,cornell,cornell,google,google,"Koutsky, Kathryn Strand, 1938-",https://catalog.hathitrust.org/Record/9157794,https://hdl.handle.net/2027/coo.31924107125290,Coffee House Press,True,True,"['the minnesota state fair minnesota historical society press', 'the american state fair st paul', None, 'minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'mcknight foundation', 'target', 'buuck family foundation', 'patrick and aimee butler family foundation', 'allan and cinda kornblum', 'lenfesty family foundation', 'rebecca rand', 'james r. thorpe foundation', 'woessner freeman family foundation', 'minnesota state arts board', 'minnesota state legislature', 'national endowment for the arts', 'target']"
hvd.32044121515621,0,ic,10750072,,HVD,012908947,709681152,"1566892791,9781566892797",,2011019841,Sông I sing : poems / Bao Phi.,"Coffee House Press, 2011.",bib,2019-01-10 03:26:01,0,2011,mnu,eng,BK,HVD,harvard,harvard,harvard,open,"Phi, Bao, 1975-",https://catalog.hathitrust.org/Record/10750072,https://hdl.handle.net/2027/hvd.32044121515621,Coffee House Press,True,True,"['bush foundation', 'jerome foundation', 'mcknight foundation', 'target', 'around town literary media guides', None, 'patrick and aimee butler family foundation', 'buuck family foundation', 'ruth and bruce dayton', 'stephen and isabel keating', 'lenfesty family foundation', 'mary mcdermid', None, 'woessner freeman family foundation', 'target', None, None, None]"
inu.30000001736523,0,ic,7592472,,INU,395380,25517233,,,93135276,Tick tock : short stories and woodcut / Russell Edson.,"Demitasse/Coffee House Press, c1992.",bib,2014-09-26 03:28:04,0,1992,mnu,eng,BK,INU,iu,iu,google,google,"Edson, Russell.",https://catalog.hathitrust.org/Record/7592472,https://hdl.handle.net/2027/inu.30000001736523,Coffee House Press,True,True,[]
mdp.39015011828913,0,ic,391712,,MIU,990003917120106381,12341941,"0918273102,9780918273109",,85017412,The alligator report : stories / by W.P. Kinsella.,"Coffee House Press, 1985.",bib,2012-09-06 19:30:43,0,1985,mnu,eng,BK,MIU,umich,umich,google,google,"Kinsella, W. P.",https://catalog.hathitrust.org/Record/391712,https://hdl.handle.net/2027/mdp.39015011828913,Coffee House Press,True,True,['national endowment for the arts']
mdp.39015014504263,0,ic,1105517,,MIU,990011055170106381,18560858,"0918273447,9780918273444",,88030326,The Chinaman Pacific & Frisco R.R. Co. : short stories / by Frank Chin.,"Coffee House Press, 1988.",bib,2008-06-04 09:30:06,0,1988,mnu,eng,BK,MIU,umich,umich,google,google,"Chin, Frank, 1940-",https://catalog.hathitrust.org/Record/1105517,https://hdl.handle.net/2027/mdp.39015014504263,Coffee House Press,True,True,"['national endowment for the arts', 'star tribune foundation', 'united arts']"
mdp.39015014772969,0,ic,920444,,MIU,990009204440106381,14272131,"0918273269,9780918273260",,86024493,All these voices : new and selected poems / by Faye Kicknosway.,"Coffee House Press, 1986.",bib,2012-09-06 19:30:56,0,1986,mnu,eng,BK,MIU,umich,umich,google,google,"Kicknosway, Faye.",https://catalog.hathitrust.org/Record/920444,https://hdl.handle.net/2027/mdp.39015014772969,Coffee House Press,True,True,"['national endowment for the arts', None, 'national endowment for the arts']"
mdp.39015014892866,0,ic,1103414,,MIU,990011034140106381,18560842,"0918273471,9780918273475",,88030234,Pages from a scrapbook of immigrants : a journey in poems / by Morton Marcus.,"Coffee House Press, 1988.",bib,2012-03-13 19:30:11,0,1988,mnu,eng,BK,MIU,umich,umich,google,google,"Marcus, Morton.",https://catalog.hathitrust.org/Record/1103414,https://hdl.handle.net/2027/mdp.39015014892866,Coffee House Press,True,True,[]
mdp.39015015165833,0,ic,1825026,,MIU,990018250260106381,20390924,"0918273579,9780918273574",,89023951,Verging on the pertinent : stories / by Carol Emshwiller.,"Coffee House Press ; Distributed by Consortium Book Sales and Distribution, 1989.",bib,2008-11-01 22:30:22,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Emshwiller, Carol.",https://catalog.hathitrust.org/Record/1825026,https://hdl.handle.net/2027/mdp.39015015165833,Coffee House Press,True,True,"['national endowment for the arts', 'new york state foundation for the arts', 'national endowment for the arts', 'target', 'star tribune foundation', 'united arts']"
mdp.39015015471504,0,ic,1829413,,MIU,990018294130106381,18560523,"0918273455,9780918273451",,88030153,The play and other stories / by Stephen Dixon.,"Coffee House Press, 1988, c1989.",bib,2007-07-16 09:25:30,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Dixon, Stephen, 1936-2019.",https://catalog.hathitrust.org/Record/1829413,https://hdl.handle.net/2027/mdp.39015015471504,Coffee House Press,True,True,"['national endowment for the arts', 'target', 'united arts']"
mdp.39015015477436,0,ic,1830473,,MIU,990018304730106381,19848711,"0918273501,9780918273505",,89015706,"Helping the dreamer : new & selected poems, 1966-1988 / Anne Waldman.","Coffee House Press, c1989.",bib,2012-04-19 19:30:25,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Waldman, Anne, 1945-",https://catalog.hathitrust.org/Record/1830473,https://hdl.handle.net/2027/mdp.39015015477436,Coffee House Press,True,True,"['national endowment for the arts', 'jerome foundation', 'united arts']"
mdp.39015017712160,0,ic,1954581,,MIU,990019545810106381,20489463,"0918273536,9780918273536",,89025124,Seeing America first : poems / by Nathaniel Tarn.,"Coffee House Press, 1989.",bib,2012-08-10 19:30:24,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Tarn, Nathaniel.",https://catalog.hathitrust.org/Record/1954581,https://hdl.handle.net/2027/mdp.39015017712160,Coffee House Press,True,True,"[None, 'national endowment for the arts', 'star tribune foundation', 'united arts']"
mdp.39015018855836,0,ic,2235364,,MIU,990022353640106381,21910790,"0918273781,9780918273789",,90040518,Why we live with animals : poems / by Alvin Greenberg.,"Coffee House Press ; Distributed to trade by Consortium Book Sales and Distribution, 1990.",bib,2012-06-18 19:30:14,0,1990,mnu,eng,BK,MIU,umich,umich,google,google,"Greenberg, Alvin.",https://catalog.hathitrust.org/Record/2235364,https://hdl.handle.net/2027/mdp.39015018855836,Coffee House Press,True,True,"['national endowment for the arts', 'target', 'star tribune foundation', 'northwest area foundation', 'united arts']"
mdp.39015018860489,0,ic,2235408,,MIU,990022354080106381,22181446,"0918273811,9780918273819",,90002468,"The woman who read novels ; and, Peacetime : two novellas / by Constance Urdang.","Coffee House Press, 1990.",bib,2012-06-18 19:30:14,0,1990,mnu,eng,BK,MIU,umich,umich,google,google,"Urdang, Constance.",https://catalog.hathitrust.org/Record/2235408,https://hdl.handle.net/2027/mdp.39015018860489,Coffee House Press,True,True,"['national endowment for the arts', 'target', 'star tribune foundation', 'minnesota state arts board', 'northwest area foundation', 'united arts']"
mdp.39015018871270,0,ic,2237712,,MIU,990022377120106381,16832538,"0918273323,9780918273321",,"87027731,87027731 //r88",Monsieur Teste in America & other instances of realism : short stories / by Andrei Codrescu.,"Coffee House Press, 1987.",bib,2012-09-06 19:31:07,0,1987,mnu,eng,BK,MIU,umich,umich,google,google,"Codrescu, Andrei, 1946-",https://catalog.hathitrust.org/Record/2237712,https://hdl.handle.net/2027/mdp.39015018871270,Coffee House Press,True,True,['national endowment for the arts']
mdp.39015018882293,0,ic,2208364,,MIU,990022083640106381,19518302,"091827351X,9780918273512",,89007100,Bend this heart : short stories / by Jonis Agee.,"Coffee House Press, 1989.",bib,2012-06-20 10:03:13,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Agee, Jonis.",https://catalog.hathitrust.org/Record/2208364,https://hdl.handle.net/2027/mdp.39015018882293,Coffee House Press,True,True,"['national endowment for the arts', 'jerome foundation', 'united arts']"
mdp.39015018950140,0,ic,2205409,,MIU,990022054090106381,21030049,"0918273773,9780918273772",,90031254,A sympathy of souls : essays / by Albert Goldbarth.,"Coffee House Press ; Distributed to trade by Consortium Book Sales and Distribution, 1990.",bib,2008-07-23 02:30:14,0,1990,mnu,eng,BK,MIU,umich,umich,google,google,"Goldbarth, Albert.",https://catalog.hathitrust.org/Record/2205409,https://hdl.handle.net/2027/mdp.39015018950140,Coffee House Press,True,True,"['national endowment for the arts', 'target', 'star tribune foundation', 'northwest area foundation', 'united arts']"
mdp.39015018983406,0,ic,2228502,,MIU,990022285020106381,21406870,"0918273765,9780918273765",,90035355,Outlying districts : poems / by Anselm Hollo.,"Coffee House Press, 1990.",bib,2008-11-01 22:30:37,0,1990,mnu,eng,BK,MIU,umich,umich,google,google,"Hollo, Anselm.",https://catalog.hathitrust.org/Record/2228502,https://hdl.handle.net/2027/mdp.39015018983406,Coffee House Press,True,True,"['national endowment for the arts', 'target', 'star tribune foundation', 'minnesota state arts board', 'northwest area foundation', 'united arts']"
mdp.39015019344988,0,ic,866620,,MIU,990008666200106381,16086635,"091827334X,9780918273345",,87018182,And the word : poems / by Cid Corman.,"Coffee House Press, 1987.",bib,2012-04-19 19:30:32,0,1987,mnu,eng,BK,MIU,umich,umich,google,google,"Corman, Cid.",https://catalog.hathitrust.org/Record/866620,https://hdl.handle.net/2027/mdp.39015019344988,Coffee House Press,True,True,"['national endowment for the arts', 'target']"
mdp.39015019423147,0,ic,2446171,,MIU,990024461710106381,20056447,"0918273552,9780918273550",,89036392,A bliss case : a novel / by Michael Aaron Rockland.,"Coffee House Press ; Distributed to trade by Consortium Book Sales and Distribution, 1989.",bib,2012-08-08 19:30:12,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Rockland, Michael Aaron.",https://catalog.hathitrust.org/Record/2446171,https://hdl.handle.net/2027/mdp.39015019423147,Coffee House Press,True,True,"['national endowment for the arts', 'jerome foundation', 'united arts']"
mdp.39015019470809,0,ic,2460536,,MIU,990024605360106381,16091760,"0918273242,0918273250,9780918273246,9780918273253",,87010237,"Thirsting for peace in a raging century : selected poems, 1961-1985 / Edward Sanders.","Coffee House Press, 1987.",bib,2012-04-19 19:30:32,0,1987,mnu,eng,BK,MIU,umich,umich,google,google,"Sanders, Ed.",https://catalog.hathitrust.org/Record/2460536,https://hdl.handle.net/2027/mdp.39015019470809,Coffee House Press,True,True,['target']
mdp.39015019568156,0,ic,2372045,,MIU,990023720450106381,13214525,"0918273196,9780918273192",,86004146,Bop : stories / by Maxine Chernoff.,"Coffee House Press, 1986.",bib,2012-09-06 19:31:10,0,1986,mnu,eng,BK,MIU,umich,umich,google,google,"Chernoff, Maxine, 1952-",https://catalog.hathitrust.org/Record/2372045,https://hdl.handle.net/2027/mdp.39015019568156,Coffee House Press,True,True,['national endowment for the arts']
mdp.39015019569550,0,ic,2372094,,MIU,990023720940106381,20422486,"0918273587,9780918273581",,89027273,In the builded place : poems / by Michael Heller.,"Coffee House Press ; Distributed to trade by Consortium Book Sales and Distribution, 1989.",bib,2012-08-18 19:30:30,0,1989,mnu,eng,BK,MIU,umich,umich,google,google,"Heller, Michael, 1937-",https://catalog.hathitrust.org/Record/2372094,https://hdl.handle.net/2027/mdp.39015019569550,Coffee House Press,True,True,"[None, 'national endowment for the arts', 'star tribune foundation']"
mdp.39015019569568,0,ic,2372054,,MIU,990023720540106381,17805423,"0918273404,9780918273406",,88011817,Cover me : short stories / by Lon Otto.,"Coffee House Press, 1988.",bib,2012-09-06 19:31:10,0,1988,mnu,eng,BK,MIU,umich,umich,google,google,"Otto, Lon, 1948-",https://catalog.hathitrust.org/Record/2372054,https://hdl.handle.net/2027/mdp.39015019569568,Coffee House Press,True,True,"['jerome foundation', None, 'minnesota state legislature', 'national endowment for the arts', 'star tribune foundation', 'united arts']"
